Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
u4-01,,,,,,,0,0,1,5710188,5712570,28479244,0,159818,4,30,0.0190726,1.0004173243363133,14.64467678554135,10.71389388241166,11.869048947083519,9.837580625643259,0,12,satisfy,0
u4-02,,,,,,,0,0,1,4734052,4734051,25452582,0,131782,4,30,0.0215255,1,14.970564744655265,10.558179296406156,11.558150302985752,9.95124999709551,0,13,satisfy,0
u4-03,,,,,,,0,0,1,4156886,4156885,24094032,0,120211,4,30,0.0194031,1,15.314520849145454,10.454669389548052,11.454634179199088,9.93649740129929,0,14,satisfy,0
u4-04,,,,,,,0,0,1,6973591,6973590,34042000,0,206361,4,30,0.0182304,1,15.112112269290279,10.814658074996244,11.877784613090245,10.23838682801828,0,14,satisfy,0
u4-05,,,,,,,0,0,1,6868051,6868050,34154118,0,197859,4,30,0.0184898,1,14.985055874666026,10.817511731155749,11.81748968047699,10.197206339499568,0,14,satisfy,0
u4-06,,,,,,,0,0,1,3564227,3564226,19113160,0,104819,4,30,0.0185819,1,14.628714621351172,10.300782417202573,11.300739066490172,9.667031776323949,0,15,satisfy,0
u4-07,,,,,,,0,0,1,2982979,2982978,16338179,0,84798,4,30,0.0204397,1,14.91462960839805,10.175118380537485,11.175074036751193,9.743314902087779,0,13,satisfy,0
u4-08,,,,,,,0,0,1,7584425,7590940,37497390,0,198403,4,30,0.016838,1.000859129183706,15.140473159201015,11.00798796373245,12.008084595481476,10.348380839467836,0,13,satisfy,0
u4-09,,,,,,,0,0,1,5658898,5658897,28944062,0,155875,4,30,0.0179531,1,15.146848935402076,10.741619902440128,11.74159522606614,10.06565449061893,0,13,satisfy,0
u4-10,,,,,,,0,0,1,7094444,7094443,33924822,0,178418,4,30,0.0181095,1,14.640463388034833,10.883307592478548,11.88328611562599,10.280878851236102,0,14,satisfy,0
u5-01,,,,,,,0,1,0,114612137,114612151,693727542,0,3599876,5,40,0.0188557,1,20.638651367263137,15.072071529387852,16.729204813622836,14.720067823183507,0,0,satisfy,0
u5-02,,,,,,,0,1,0,113671912,113671927,713051574,0,3599882,5,40,0.0190414,1,20.592318417235738,15.469132277813713,16.54780382334028,14.772177105633624,0,0,satisfy,0
u5-03,,,,,,,0,1,0,120477095,120496164,666097305,0,3599885,5,40,0.0180618,1.0001581379431501,20.96153052163152,16.165627823280435,17.174612800881363,15.475908711112266,0,0,satisfy,0
u5-04,,,,,,,0,1,0,114670538,114842100,686893647,0,3599879,5,40,0.0205177,1.0014959814699744,20.5069926156621,15.854198094021326,16.899990571248562,14.981478642753032,0,0,satisfy,0
u5-05,,,,,,,0,1,0,117808943,117808960,671138558,0,3599880,5,40,0.0183282,1,20.823788725445063,15.879760596782537,16.87976059678254,15.588923915563864,0,0,satisfy,0
u5-06,,,,,,,0,1,0,108201420,108290078,630201870,0,3599871,5,40,0.0191191,1.0008192313927118,20.236460556617462,15.492875786657883,16.948280170445084,14.804621963371645,0,0,satisfy,0
u5-07,,,,,,,0,1,0,107259278,107369204,631602056,0,3599887,5,40,0.0195818,1.001024722541951,20.77333059243602,15.354557784735414,16.378379565448874,15.583028472371407,0,0,satisfy,0
u5-08,,,,,,,0,1,0,112817585,112852235,675502577,0,3599884,5,40,0.0197554,1.0003069911485873,20.600918305421978,15.587835025896007,16.598679416865732,15.064398054611788,0,0,satisfy,0
u5-09,,,,,,,0,1,0,110257359,110257374,728632268,0,3599874,5,40,0.0194785,1,19.79958210317735,15.451515277089124,16.49705688125543,14.360919265261922,0,0,satisfy,0
u5-10,,,,,,,0,1,0,113700425,113700443,664162145,0,3599881,5,40,0.0189589,1,19.50133639342157,15.900349255510699,18.57547354814197,12.664785518611739,0,0,satisfy,0
