Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
qcp-10-67-7_ext,495,495,0,1,495,0,0,0,51,159,1998,0,3,20,67,0.11069,2.607843137254902,2.2745098039215685,3.06,5.901960784313726,0.21568627450980393,0.43137254901960786,1,satisfy,0
qcp-10-67-8_ext,43,43,0,1,43,0,0,0,1,23,576,0,0,20,67,0.0791122,1,2,5,7,0,0,0,satisfy,0
qcp-10-67-9_ext,262,262,0,1,262,0,0,0,10,37,748,0,0,20,67,0.0881641,1.8,2,4.1,8,0.1,0.5,0,satisfy,0
qcp-15-120-0_ext,2019,2019,0,1,2019,0,0,0,59,190,4711,0,8,30,120,0.0666502,2.6779661016949152,2.2033898305084745,9.135593220338983,19.440677966101696,0.4406779661016949,0.4745762711864407,0,satisfy,0
qcp-15-120-10_ext,,,,,,,0,1,4081,6512,252586,0,1129,30,120,0.0843558,1.5960784313725491,4.431862745098039,5.122453987730061,20.790931372549018,2.970833333333333,0.6982843137254902,5,satisfy,0
qcp-15-120-11_ext,,,,,,,0,1,44,127,3283,0,4,30,120,0.0705695,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,satisfy,0
qcp-15-120-12_ext,,,,,,,0,1,1373,2503,71660,0,243,30,120,0.0758641,1.8243440233236152,3.633381924198251,6.392543859649122,17.825072886297377,1.151603498542274,0.5495626822157434,4,satisfy,0
qcp-15-120-13_ext,,,,,,,0,1,4207,5941,238714,0,1197,30,120,0.0872921,1.4125059438896814,4.69923918212078,5.260185847033595,24.495720399429388,2.890870185449358,0.7439372325249644,9,satisfy,0
qcp-15-120-14_ext,,,,,,,0,1,100,309,6196,0,10,30,120,0.0721075,3.121212121212121,2.595959595959596,4.1875,8.383838383838384,0.6868686868686869,0.494949494949495,3,satisfy,0
qcp-15-120-1_ext,2668,2668,0,1,2668,0,0,0,567,970,31102,0,168,30,120,0.0842025,1.6807760141093475,3.3209876543209877,9.008818342151676,25.867724867724867,0.873015873015873,0.527336860670194,0,satisfy,0
qcp-15-120-2_ext,2876,2876,0,1,2876,0,0,0,585,1093,31533,0,89,30,120,0.0940471,1.8393162393162392,4.5948717948717945,9.28888888888889,25.305982905982905,0.9452991452991453,0.49743589743589745,0,satisfy,0
qcp-15-120-3_ext,2912,2912,0,1,2912,0,0,0,1502,2441,80932,0,474,30,120,0.086884,1.6178428761651131,4.320905459387483,6.601198402130493,26.910785619174433,1.7769640479360853,0.9440745672436751,0,satisfy,0
qcp-15-120-4_ext,2957,2957,0,1,2957,0,0,0,1063,1697,64294,0,252,30,120,0.0854213,1.5785512699905926,3.9793038570084667,7.625587958607714,27.08184383819379,2.105362182502352,1.0141110065851364,0,satisfy,0
qcp-15-120-5_ext,3279,3279,0,1,3279,0,0,0,2771,4433,163474,0,744,30,120,0.0831286,1.5932876217971852,3.82028148682786,5.133212996389892,19.7426921688921,1.5142547816672682,0.5658607001082642,1,satisfy,0
qcp-15-120-6_ext,2838,2838,0,1,2838,0,0,0,653,1043,34719,0,185,30,120,0.101995,1.566615620214395,4.816232771822358,8.29249617151608,26.218989280245022,1.1791730474732005,0.6875957120980092,0,satisfy,0
qcp-15-120-7_ext,2280,2280,0,1,2280,0,0,0,181,356,10529,0,39,30,120,0.0934502,1.839779005524862,4.226519337016574,9.027624309392266,21.23204419889503,0.7624309392265194,0.4143646408839779,0,satisfy,0
