Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,mddMaxWidth,method,nSolutions,paths,reportedMdd
s4-01,113,113,0,1,113,0,0,0,0,60229,60299,488904,0,807280,4,30,0.0364265,1.000979594547477,15.578126815985655,9.352969499742649,11.765793886665891,6.660611997542712,0,0,122.243949916,,satisfy,1,0,0
s4-02,116,116,0,1,116,0,0,0,0,140278,140403,1132990,0,1520854,4,30,0.0490454,1.0008340580846604,15.419438543463693,9.04899556594762,10.78736508932263,7.722101826373344,0,0,134.033708375,,satisfy,1,0,0
s4-03,,,,,,,0,1,0,260766,262819,2131444,0,3467310,4,30,0.0581621,1.0078499497633895,15.268677665033017,8.931336644104846,10.710955415966806,7.546608837041639,0,1,132.600571791,,satisfy,0,0,0
s4-04,112,112,0,1,112,0,0,0,0,77953,78042,620740,0,952747,4,30,0.0611278,1.000987774684746,15.714610085564379,9.682026349210421,11.629776916860159,7.195720498248945,0,0,119.05894475,,satisfy,1,0,0
s4-05,107,107,0,1,107,0,0,0,0,12281,12301,109414,0,168023,4,30,0.0585179,1.00073283934533,15.413647097141926,9.556387916293462,11.954808240371305,5.372200960833808,0,0,47.156118833,,satisfy,1,0,0
s4-06,108,108,0,1,108,0,0,0,0,55797,55928,418587,0,684609,4,30,0.055378,1.0021864974819434,15.599333297489112,10.2414825169812,12.552359445848342,6.721060272057637,0,0,131.866386042,,satisfy,1,0,0
s4-07,,,,,,,0,1,0,267250,267712,2057970,0,3445684,4,30,0.0620496,1.0017025257249765,15.776804490177737,9.298364826941066,11.700142188961646,7.487513564078578,0,0,154.226086292,,satisfy,0,0,0
s4-08,113,113,0,1,113,0,0,0,0,66183,66212,546241,0,880305,4,30,0.0633228,1.0003021924059048,15.632110965051448,9.53010591843827,11.722436275176404,6.492694498587251,0,0,73.351812417,,satisfy,1,0,0
s4-09,104,104,0,1,104,0,0,0,0,3035,3055,27007,0,44870,4,30,0.0608754,1.0029654036243822,15.457001647446457,9.320593080724876,11.454036243822076,5.144316309719934,0,0,38.546716084,,satisfy,1,0,0
s4-10,,,,,,,0,1,0,333766,334055,2695290,0,3462969,4,30,0.0589055,1.0008389110934008,15.50701389596304,9.24940002696508,11.05829533265821,7.624018024604064,0,1,136.939958708,,satisfy,0,0,0
u3-01,,,,,,,0,0,1,438,437,3522,0,920,3,20,0.062173,1,9.416475972540045,3.5906976744186045,5.032036613272311,2.4324942791762014,0,7,0.026467416,,satisfy,0,0,0
u3-02,,,,,,,0,0,1,476,477,3993,0,899,3,20,0.0352392,1.0042105263157894,9.454736842105262,3.633262260127932,4.846315789473684,2.5726315789473686,0,6,0.026279708,,satisfy,0,0,0
u3-03,,,,,,,0,0,1,464,464,3783,0,830,3,20,0.0377085,1.0021598272138228,9.460043196544277,3.6542669584245075,4.822894168466522,2.7257019438444923,0,6,0.02816025,,satisfy,0,0,0
u3-04,,,,,,,0,0,1,542,541,4314,0,1314,3,20,0.0352502,1,9.4362292051756,3.689138576779026,5.146025878003697,2.3401109057301293,0,7,0.035263125,,satisfy,0,0,0
u3-05,,,,,,,0,0,1,504,504,3999,0,1080,3,20,0.034484,1.0019880715705765,9.62624254473161,3.653923541247485,4.926441351888668,2.673956262425447,0,6,0.031197542,,satisfy,0,0,0
u3-06,,,,,,,0,0,1,350,349,2937,0,746,3,20,0.0484126,1,9.063037249283667,3.3508771929824563,4.782234957020058,1.9570200573065903,0,7,0.027308125,,satisfy,0,0,0
u3-07,,,,,,,0,0,1,397,397,3183,0,973,3,20,0.0341643,1.0025252525252526,9.227272727272727,3.403598971722365,4.9772727272727275,1.9974747474747474,0,7,0.033301417,,satisfy,0,0,0
u3-08,,,,,,,0,0,1,315,314,2640,0,584,3,20,0.035808,1,9.26751592356688,3.25,4.592356687898089,2.1974522292993632,0,6,0.027152625,,satisfy,0,0,0
u3-09,,,,,,,0,0,1,395,394,3396,0,979,3,20,0.035681,1,9.319796954314722,3.496124031007752,4.8274111675126905,2.3401015228426396,0,7,0.031555417,,satisfy,0,0,0
u3-10,,,,,,,0,0,1,422,421,3537,0,948,3,20,0.0366424,1,9.562945368171022,3.524154589371981,4.8741092636579575,2.204275534441805,0,7,0.029726917,,satisfy,0,0,0
