Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,mddMaxWidth,method,nSolutions,paths,reportedMdd
u3-01,,,,,,,0,0,1,5060,5060,26172,0,1263,3,20,0.0541592,1.000197667523226,9.85708638070765,5.699663432983567,6.787112077485669,5.159122356196876,0,8,0.196704125,,satisfy,0,0,0
u3-02,,,,,,,0,0,1,3737,3736,21951,0,1023,3,20,0.0353155,1,10.007226980728051,5.322156652360515,6.332441113490364,4.9887580299785865,0,8,0.239971042,,satisfy,0,0,0
u3-03,,,,,,,0,0,1,3339,3346,17482,0,1169,3,20,0.0464578,1.0023966446974235,9.91372079089275,5.445211648153707,6.465248651887357,5.4113241461953265,0,7,0.212342542,,satisfy,0,0,0
u3-04,,,,,,,0,0,1,12281,12282,52317,0,1588,3,20,0.035294,1.0001628664495115,9.892019543973941,6.2940026075619295,7.294625407166124,5.711644951140065,0,8,0.264694042,,satisfy,0,0,0
u3-05,,,,,,,0,0,1,5628,5631,29547,0,1434,3,20,0.0345547,1.0007108583614714,10.069664119424205,5.797153024911032,6.807712813221966,5.270659321130265,0,7,0.247384958,,satisfy,0,0,0
u3-06,,,,,,,0,0,1,7099,7099,35676,0,1294,3,20,0.0445033,1.0001408847562694,9.826007326007327,5.938355198194386,7.191180614257537,4.967878275570583,0,9,0.21098,,satisfy,0,0,0
u3-07,,,,,,,0,0,1,19603,19605,74785,0,2181,3,20,0.0350647,1.000153045607591,10.23635343332313,6.7640604266612225,7.7671666156514645,6.308029792878278,0,8,0.268291625,,satisfy,0,0,0
u3-08,,,,,,,0,0,1,8854,8883,39764,0,1549,3,20,0.0434968,1.0033886818027786,9.712300914944088,6.247681520018095,7.402688354230205,5.106856432847622,0,11,0.195589709,,satisfy,0,0,0
u3-09,,,,,,,0,0,1,6385,6386,32933,0,1147,3,20,0.0361148,1.0003132832080202,10.24263784461153,5.860906382311431,6.866384711779449,5.492951127819549,0,7,0.262190833,,satisfy,0,0,0
u3-10,,,,,,,0,0,1,5788,5788,30283,0,1695,3,20,0.0351317,1.000172801105927,10.434421980300675,5.9833852544132915,6.996889580093312,5.569725246241576,0,9,0.228111334,,satisfy,0,0,0
